Generated on Sat Oct 18 22:32:59 2025 (timezone Berlin).

The monthly contribution is 100.
The annual inflation rate is 0.03.
"MPP" is the monthly purchasing power.
That is, "MPP" is the value that can be spent in the first month of the consume years.
In every following month, MPP can be increased by an amount corresponding to the inflation rate.
At the end of the last consume year, the remaining balance will be zero.
"MPP today" is today's "MPP" value taking into account inflation and the number of growth years.

+-----------------+--------+----------------+---------------+-----------------+---------------------+-------------+
| start balance   | rate   | growth years   | end balance   | consume years   | MPP after 25% tax   | MPP today   |
|-----------------+--------+----------------+---------------+-----------------+---------------------+-------------|
| 0               | 0.05   | 10             | 1.5e+04       | 20              | 58                  | 43          |
| 0               | 0.05   | 10             | 1.5e+04       | 30              | 42                  | 31          |
| 0               | 0.05   | 10             | 1.5e+04       | 40              | 35                  | 26          |
| 0               | 0.05   | 20             | 4.1e+04       | 20              | 153                 | 85          |
| 0               | 0.05   | 20             | 4.1e+04       | 30              | 111                 | 62          |
| 0               | 0.05   | 20             | 4.1e+04       | 40              | 91                  | 50          |
| 0               | 0.05   | 30             | 8.2e+04       | 20              | 307                 | 126         |
| 0               | 0.05   | 30             | 8.2e+04       | 30              | 223                 | 92          |
| 0               | 0.05   | 30             | 8.2e+04       | 40              | 182                 | 75          |
| 0               | 0.06   | 10             | 1.6e+04       | 20              | 67                  | 50          |
| 0               | 0.06   | 10             | 1.6e+04       | 30              | 50                  | 38          |
| 0               | 0.06   | 10             | 1.6e+04       | 40              | 43                  | 32          |
| 0               | 0.06   | 20             | 4.5e+04       | 20              | 186                 | 103         |
| 0               | 0.06   | 20             | 4.5e+04       | 30              | 141                 | 78          |
| 0               | 0.06   | 20             | 4.5e+04       | 40              | 119                 | 66          |
| 0               | 0.06   | 30             | 9.7e+04       | 20              | 400                 | 165         |
| 0               | 0.06   | 30             | 9.7e+04       | 30              | 302                 | 125         |
| 0               | 0.06   | 30             | 9.7e+04       | 40              | 256                 | 105         |
| 0               | 0.07   | 10             | 1.7e+04       | 20              | 76                  | 57          |
| 0               | 0.07   | 10             | 1.7e+04       | 30              | 60                  | 44          |
| 0               | 0.07   | 10             | 1.7e+04       | 40              | 52                  | 39          |
| 0               | 0.07   | 20             | 5.1e+04       | 20              | 226                 | 125         |
| 0               | 0.07   | 20             | 5.1e+04       | 30              | 177                 | 98          |
| 0               | 0.07   | 20             | 5.1e+04       | 40              | 154                 | 85          |
| 0               | 0.07   | 30             | 1.2e+05       | 20              | 521                 | 215         |
| 0               | 0.07   | 30             | 1.2e+05       | 30              | 408                 | 168         |
| 0               | 0.07   | 30             | 1.2e+05       | 40              | 355                 | 146         |
| 100000          | 0.05   | 10             | 1.8e+05       | 20              | 671                 | 499         |
| 100000          | 0.05   | 10             | 1.8e+05       | 30              | 489                 | 364         |
| 100000          | 0.05   | 10             | 1.8e+05       | 40              | 399                 | 297         |
| 100000          | 0.05   | 20             | 3.1e+05       | 20              | 1151                | 637         |
| 100000          | 0.05   | 20             | 3.1e+05       | 30              | 838                 | 464         |
| 100000          | 0.05   | 20             | 3.1e+05       | 40              | 685                 | 379         |
| 100000          | 0.05   | 30             | 5.1e+05       | 20              | 1932                | 796         |
| 100000          | 0.05   | 30             | 5.1e+05       | 30              | 1407                | 580         |
| 100000          | 0.05   | 30             | 5.1e+05       | 40              | 1150                | 474         |
| 100000          | 0.06   | 10             | 2.0e+05       | 20              | 801                 | 596         |
| 100000          | 0.06   | 10             | 2.0e+05       | 30              | 606                 | 451         |
| 100000          | 0.06   | 10             | 2.0e+05       | 40              | 513                 | 381         |
| 100000          | 0.06   | 20             | 3.7e+05       | 20              | 1502                | 832         |
| 100000          | 0.06   | 20             | 3.7e+05       | 30              | 1136                | 629         |
| 100000          | 0.06   | 20             | 3.7e+05       | 40              | 961                 | 532         |
| 100000          | 0.06   | 30             | 6.7e+05       | 20              | 2756                | 1136        |
| 100000          | 0.06   | 30             | 6.7e+05       | 30              | 2085                | 859         |
| 100000          | 0.06   | 30             | 6.7e+05       | 40              | 1763                | 726         |
| 100000          | 0.07   | 10             | 2.1e+05       | 20              | 953                 | 709         |
| 100000          | 0.07   | 10             | 2.1e+05       | 30              | 746                 | 555         |
| 100000          | 0.07   | 10             | 2.1e+05       | 40              | 650                 | 484         |
| 100000          | 0.07   | 20             | 4.4e+05       | 20              | 1951                | 1080        |
| 100000          | 0.07   | 20             | 4.4e+05       | 30              | 1528                | 846         |
| 100000          | 0.07   | 20             | 4.4e+05       | 40              | 1331                | 737         |
| 100000          | 0.07   | 30             | 8.8e+05       | 20              | 3915                | 1613        |
| 100000          | 0.07   | 30             | 8.8e+05       | 30              | 3065                | 1263        |
| 100000          | 0.07   | 30             | 8.8e+05       | 40              | 2669                | 1100        |
| 200000          | 0.05   | 10             | 3.4e+05       | 20              | 1283                | 955         |
| 200000          | 0.05   | 10             | 3.4e+05       | 30              | 935                 | 696         |
| 200000          | 0.05   | 10             | 3.4e+05       | 40              | 764                 | 568         |
| 200000          | 0.05   | 20             | 5.7e+05       | 20              | 2149                | 1190        |
| 200000          | 0.05   | 20             | 5.7e+05       | 30              | 1565                | 866         |
| 200000          | 0.05   | 20             | 5.7e+05       | 40              | 1278                | 708         |
| 200000          | 0.05   | 30             | 9.5e+05       | 20              | 3558                | 1466        |
| 200000          | 0.05   | 30             | 9.5e+05       | 30              | 2591                | 1068        |
| 200000          | 0.05   | 30             | 9.5e+05       | 40              | 2117                | 872         |
| 200000          | 0.06   | 10             | 3.7e+05       | 20              | 1536                | 1143        |
| 200000          | 0.06   | 10             | 3.7e+05       | 30              | 1162                | 865         |
| 200000          | 0.06   | 10             | 3.7e+05       | 40              | 983                 | 731         |
| 200000          | 0.06   | 20             | 6.9e+05       | 20              | 2818                | 1560        |
| 200000          | 0.06   | 20             | 6.9e+05       | 30              | 2132                | 1180        |
| 200000          | 0.06   | 20             | 6.9e+05       | 40              | 1803                | 998         |
| 200000          | 0.06   | 30             | 1.2e+06       | 20              | 5113                | 2106        |
| 200000          | 0.06   | 30             | 1.2e+06       | 30              | 3868                | 1594        |
| 200000          | 0.06   | 30             | 1.2e+06       | 40              | 3271                | 1347        |
| 200000          | 0.07   | 10             | 4.1e+05       | 20              | 1830                | 1362        |
| 200000          | 0.07   | 10             | 4.1e+05       | 30              | 1433                | 1066        |
| 200000          | 0.07   | 10             | 4.1e+05       | 40              | 1248                | 929         |
| 200000          | 0.07   | 20             | 8.2e+05       | 20              | 3677                | 2036        |
| 200000          | 0.07   | 20             | 8.2e+05       | 30              | 2879                | 1594        |
| 200000          | 0.07   | 20             | 8.2e+05       | 40              | 2507                | 1388        |
| 200000          | 0.07   | 30             | 1.6e+06       | 20              | 7309                | 3011        |
| 200000          | 0.07   | 30             | 1.6e+06       | 30              | 5722                | 2357        |
| 200000          | 0.07   | 30             | 1.6e+06       | 40              | 4983                | 2053        |
+-----------------+--------+----------------+---------------+-----------------+---------------------+-------------+
